"","season_game_info","home","non_home"
"1","1971-72",1,0.431952662721893
"2","1972-73",0.822429906542056,0.262820512820513
"3","1973-74",0.69672131147541,0.197452229299363
"4","1974-75",0.680672268907563,0.375
"5","1975-76",0.721311475409836,0.345070422535211
"6","1976-77",0.552083333333333,0.506756756756757
"7","1977-78",1,0.685185185185185
"8","1978-79",0.909090909090909,0.651960784313726
"9","1979-80",0.840336134453782,0.656862745098039
"10","1980-81",0.820143884892086,0.346938775510204
"11","1981-82",0.507352941176471,0.127272727272727
"12","1982-83",0.586206896551724,0.152173913043478
"13","1983-84",0.745222929936306,0.706666666666667
"14","1984-85",0.817610062893082,0.703030303030303
"15","1985-86",1,0.897959183673469
"16","1986-87",0.893491124260355,0.6125
"17","1987-88",0.883116883116883,0.780373831775701
"18","1988-89",0.936781609195402,0.688679245283019
"19","1989-90",0.921428571428571,0.684426229508197
"20","1990-91",1,0.708154506437768
"21","1991-92",1,0.928571428571429
"22","1992-93",0.886792452830189,0.657894736842105
"23","1993-94",0.901840490797546,0.8125
"24","1994-95",0.597014925373134,0.310126582278481
"25","1995-96",0.753521126760563,0.431654676258993
"26","1996-97",0.895604395604396,0.56875
"27","1997-98",1,0.829596412556054
"28","1998-99",1,0.932806324110672
"29","1999-2000",0.914634146341463,0.854748603351955
"30","2000-01",0.898203592814371,0.919642857142857
"31","2001-02",1,0.847926267281106
"32","2002-03",1,0.625668449197861
"33","2003-04",0.948717948717949,0.796208530805687
"34","2004-05",0.947019867549669,0.733727810650888
"35","2005-06",0.92948717948718,0.840425531914894
"36","2006-07",0.795454545454545,0.515151515151515
"37","2007-08",0.940119760479042,0.708571428571429
"38","2008-09",0.957219251336898,0.703517587939699
"39","2009-10",1,0.799065420560748
"40","2010-11",1,0.797752808988764
"41","2011-12",0.826923076923077,0.775757575757576
"42","2012-13",1,0.700564971751412
"43","2013-14",1,0.519553072625698
"44","2014-15",0.941176470588235,0.875621890547264
"45","2015-16",0.853333333333333,0.560606060606061
"46","2016-17",0.938356164383562,0.634285714285714
